StoreID,LocationName,LocationOwnerType,ABN,State,StoreType,StoreTypeName,DateOpened,DateClosed,ShortCode,TradeDays,Territory,Country,Postcode,Address1,Address2,Suburb,Phone,Latitude,Longitude,AvgOrderTime,Bitmask,PaymentGatewayCustomerID,OpeningTimesSunday,OpeningTimesMonday,OpeningTimesTuesday,OpeningTimesWednesday,OpeningTimesThursday,OpeningTimesFriday,OpeningTimesSaturday,OpeningTimesPublicHoliday,ClosingTimesSunday,ClosingTimesMonday,ClosingTimesTuesday,ClosingTimesWednesday,ClosingTimesThursday,ClosingTimesFriday,ClosingTimesSaturday,ClosingTimesPublicHoliday
23,"Charlestown Square",3,88611309196,NSW,4,OTHER,,,,7,,AUSTRALIA,2290,"Charlestown Square","Shop l02/2046/30 Pearson St",CHARLESTOWN,"(02) 4943 7182",-32.96406,151.69384,10,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,17:00:00,16:30:00,16:30:00,16:30:00,21:00:00,17:00:00,17:00:00,17:00:00
24,Craigieburn,3,87302991861,VIC,4,OTHER,,,,7,,AUSTRALIA,3064,"Craigieburn Central COO","21/350 Main St",CRAIGIEBURN,"(03) 9333 7638",-37.593747,144.913616,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00
25,"Cranbourne Park",3,88413449648,VIC,4,OTHER,,,,7,,AUSTRALIA,3977,"Shop SP125, Cranbourne Park Shopping Centre","High St",CRANBOURNE,"(03) 5996 4503",-38.106973,145.28213,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,20:30:00,20:30:00
26,"Crown Melbourne",3,82604664324,VIC,4,OTHER,,,,7,,AUSTRALIA,3006,"S.109-Lvl 1, Crown Food Court","8 Whiteman St",SOUTHBANK,"(03) 9690 8360",-37.82366,144.95889,15,5288,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,,18:45:00,18:45:00,18:45:00,18:45:00,18:45:00,18:45:00,18:45:00,
27,"Dandenong Plaza",3,88634951509,VIC,4,OTHER,,,,7,,AUSTRALIA,3175,"Shop 2.48 Dandenong Plaza","Walker & Mc Crea St",DANDENONG,"(03) 9791 2160",-37.987547,145.218465,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,11:00:00,19:30:00,19:30:00,19:30:00,21:00:00,21:00:00,21:00:00,21:00:00,19:30:00
28,Doncaster,3,82639319823,VIC,4,OTHER,,,,7,,AUSTRALIA,3108," Kiosk FC10","619 Doncaster Rd",DONCASTER,"(03) 9840 7117",-37.786928,145.125296,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,20:00:00,18:00:00,18:00:00,20:00:00,21:00:00,21:00:00,20:00:00,17:00:00
29,Eastland,3,88164960338,VIC,4,OTHER,,,,7,,AUSTRALIA,3134," Shop G014, Level 2 Food Court, Eastland","171/175 Maroondah Hwy",RINGWOOD,"(03) 9870 4017",-37.8151,145.22918,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,17:00:00,17:00:00,17:00:00,17:00:00,21:00:00,21:00:00,17:00:00,17:00:00
30,"Fountain Gate",3,55159392202,VIC,4,OTHER,,,,7,,AUSTRALIA,3805," Shop 1120/352 Princes Hwy",,"NARRE WARREN","(03) 9705 1005",-38.017618,145.304768,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,21:00:00,21:00:00,21:00:00,21:00:00,22:00:00,22:00:00,22:00:00,21:00:00
31,"Garden City",3,56606044820,QLD,4,OTHER,,,,7,,AUSTRALIA,4122,"Westfield Garden City"," Shop 2042-4, Corner Logan & Kessels Rd","UPPER MOUNT GRAVATT","(07) 5523 4300",0,0,15,5288,,10:30:00,10:30:00,10:30:00,11:00:00,10:30:00,10:30:00,10:30:00,,17:00:00,17:30:00,17:30:00,17:30:00,21:00:00,20:00:00,20:00:00,
32,"Gateway Sydney",3,34378380467,NSW,4,OTHER,,,,7,,AUSTRALIA,2000,"Shop G-03/1 Macquarie Pl",,SYDNEY,"(02) 9252 4006",-33.86274,151.21017,10,23690,,09:00:00,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,09:00:00,09:30:00,15:30:00,16:00:00,16:00:00,16:00:00,16:00:00,16:00:00,15:30:00,15:30:00
33,Geelong,3,60166781924,VIC,4,OTHER,,,,7,,AUSTRALIA,3220,"Shop 219/95 Malop St",,GEELONG,"(03) 5222 4474",-38.14755,144.36253,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,17:00:00,17:30:00,17:30:00,17:30:00,17:30:00,21:00:00,17:00:00,17:30:00
34,Gladstone,3,43144708570,QLD,4,OTHER,,,,7,,AUSTRALIA,4680,"Stockland Gladstone","019 Philip St &, Dawson Hwy",GLADSTONE,"(07) 4978 0696",-23.869871,151.242509,25,22696,,11:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,11:00:00,20:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,20:00:00
35,Hawthorn,3,84781062823,VIC,4,OTHER,,,,7,,AUSTRALIA,3122,"Shop 4/672 Glenferrie Rd",,HAWTHORN,"(03) 9815 3455",-37.82116,145.03584,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00
36,Highpoint,3,70637624876,VIC,4,OTHER,,,,7,,AUSTRALIA,3032,"Shop 1108/120-200 Rosamond Rd",,MARIBYRNONG,"(03) 9318 6791",-37.773429,144.888618,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,21:30:00,21:30:00,21:30:00,21:30:00,22:00:00,22:00:00,22:00:00,21:30:00
37,"Highpoint Food Court",3,23158633973,VIC,4,OTHER,,,,7,,AUSTRALIA,3032,"Highpoint S/C"," Shop L03 3199, 120-200 Rosamond Rd",MARIBYRNONG,"03 9317 7065",-37.775583,144.888425,15,7306,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,17:30:00,17:30:00,17:30:00,17:30:00,21:30:00,21:30:00,18:00:00,16:00:00
38,"Leopold Gateway Plaza",3,17139781051,VIC,4,OTHER,,,,7,,AUSTRALIA,3224,"Gateway Plaza","Shop G-058/641/659 Bellarine Hwy",LEOPOLD,"(03) 5250 2182",-38.18627,144.45348,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:00:00,20:00:00,20:00:00,20:00:00,20:30:00,21:00:00,20:30:00,18:45:00
39,Liverpool,3,33632137252,NSW,4,OTHER,,,,7,,AUSTRALIA,2170,"Shop 2014, Westfield Liverpool","Macquarie St",LIVERPOOL,"(02) 9824 2103",-33.918827,150.923824,10,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,17:30:00,17:30:00,17:30:00,17:30:00,21:00:00,17:30:00,17:30:00,17:30:00
40,Malvern,3,84781062823,VIC,4,OTHER,,,,7,,AUSTRALIA,3144,"215 Glenferrie Rd",,MALVERN,"03 9256 4157",-37.85898,145.02869,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,21:00:00,21:00:00
41,"Melbourne Central",3,20632730119,VIC,4,OTHER,,,,7,,AUSTRALIA,3000,"Shop K264/211 La Trobe St",,MELBOURNE,"(03) 9650 6883",-37.81011,144.96239,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,19:00:00,20:00:00,20:00:00,20:00:00,20:00:00,21:00:00,20:00:00,19:00:00
42,Miranda,3,41642405285,NSW,4,OTHER,,,,7,,AUSTRALIA,1490,"Shop 1052/600 Kingsway",,MIRANDA,"(02) 9531 5849",-34.03501,151.10016,10,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,18:00:00,18:00:00,18:00:00,18:00:00,21:00:00,18:00:00,18:00:00,18:00:00
43,"25 Martin Place",3,22807571404,NSW,4,OTHER,,,,7,,AUSTRALIA,2000,"Level 6, Shop 23/25 Martin Pl",,SYDNEY,"(02) 9230 0093",-33.86842,151.2092,15,23690,,,08:00:00,08:00:00,08:00:00,08:00:00,08:00:00,,08:00:00,,16:00:00,16:00:00,16:00:00,16:00:00,16:00:00,,16:00:00
44,"Monash Uni Clayton",3,80891988719,VIC,4,OTHER,,,,7,,AUSTRALIA,3168,"Monash University Clayton Campus","Tenancy 1/28 Sports Walk",CLAYTON,"(03) 9548 8148",-37.911531,145.135703,15,23690,,11:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,20:30:00,20:45:00,20:45:00,20:45:00,20:45:00,20:45:00,20:45:00,21:00:00
45,"North Lakes",3,78608105111,QLD,4,OTHER,,,,7,,AUSTRALIA,4509,"Rest. 2, Corner Anzac Ave &, N Lakes Dr",,"NORTH LAKES","(07) 3491 8132",-27.24139,153.017192,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:30:00,21:30:00,21:30:00,20:45:00
46,Northland,3,59669719420,VIC,4,OTHER,,,,7,,AUSTRALIA,3072,"Northland Shopping Centre 022A","2/50 Murray Rd",PRESTON,"(03) 9471 2689",-37.739193,145.02996,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,17:00:00,17:00:00,17:00:00,17:00:00,21:00:00,21:00:00,17:00:00,17:00:00
47,"Orion Springfield",3,70613989076,QLD,4,OTHER,,,,7,,AUSTRALIA,4300,"Orion Springfield Central","212/1 Main St",SPRINGFIELD,"(07) 3470 0090",-27.6772417,152.9017647,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,20:30:00,20:30:00,20:30:00,20:30:00,21:30:00,21:30:00,21:30:00,20:30:00
48,"Pacific Epping",3,72671970068,VIC,4,OTHER,,,,7,,AUSTRALIA,3076,"Epping plaza shopping centre","Shop R11 571-583 High St",EPPING,"03 8108 8063",-37.65391,145.01893,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:30:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,21:00:00
49,"Pacific Fair",3,14606043832,QLD,4,OTHER,,,,7,,AUSTRALIA,4218,"Shop/2742 Hooker Blvd",,BROADBEACH,"(07) 5526 2387",-28.03691,153.427334,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,20:00:00,20:00:00,20:00:00,20:00:00,21:00:00,21:00:00,21:00:00,20:00:00
50,"Pacific Werribee",3,78214990834,VIC,4,OTHER,,,,7,,AUSTRALIA,3030,"Shop RE05, Pacific Werribee","Cnr Derrimut Rd &, Heaths Rd",WERRIBEE,"(03) 9748 6188",-37.876208,144.680929,15,23690,,10:30:00,10:30:00,10:30:01,10:30:00,10:30:00,10:30:00,10:30:01,10:30:00,21:30:00,21:30:00,21:30:00,21:30:00,22:00:00,22:00:00,22:00:00,20:30:00
51,Parkmore,3,79641996492,VIC,4,OTHER,,,,7,,AUSTRALIA,3173,"Shop L01 Z02, Parkmore Shopping Centre","317 Cheltenham Rd",KEYSBOROUGH,"(03) 9798 2715",-37.992628,145.173061,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,17:00:00,17:00:00,17:00:00,17:00:00,20:00:00,21:00:00,18:00:00,17:00:00
52,"Plenty Valley",3,36371278952,VIC,4,OTHER,,,,7,,AUSTRALIA,3082,"415 McDonalds Rd",,"MILL PARK","(03) 9437 8038",-37.651345,145.071523,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,17:00:00,17:00:00,17:00:00,17:00:00,21:00:00,21:00:00,17:00:00,17:00:00
53,"Point Cook",3,66374844739,VIC,4,OTHER,,,,7,,AUSTRALIA,3030,"Tenancy 448/449 Murnong St",,"POINT COOK","(03) 7379 7471",-37.883389,144.735062,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,21:30:00,21:30:00,21:30:00,21:30:00,22:00:00,22:00:00,22:00:00,21:30:00
54,QV,3,15231353372,VIC,4,OTHER,,,,7,,AUSTRALIA,3000,"QV Melbourne","28 Artemis Ln",MELBOURNE,"(03) 9663 3497",-37.81058,144.96607,25,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,21:00:00,20:30:00
55,Richmond,3,78159818872,VIC,4,OTHER,,,,7,,AUSTRALIA,3121,"283 Bridge Rd",,RICHMOND,"(03) 9421 4276",-37.81832,144.99889,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:30:00,21:30:00,21:00:00
56,Robina,3,95606925535,QLD,4,OTHER,,,,7,,AUSTRALIA,4226,"Tenancy 2034, Robina Town Centre 19 Robina Town Centre Drive Robina QLD 4230 Centre","19 Robina Town Centre Dr",ROBINA,"(07) 5580 8224",-28.077849,153.385629,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,16:30:00,17:30:00,19:00:00,19:00:00,21:00:00,19:00:00,19:00:00,16:30:00
57,Rockhampton,3,43144708570,QLD,4,OTHER,,,,7,,AUSTRALIA,4700,"Stockland Rockhampton Shop F06","120-331 Yaamba Rd",ROCKHAMPTON,"(07) 4926 5584",-23.354219,150.521665,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,20:00:00,20:00:00,20:00:00,20:00:00,21:00:00,21:00:00,21:00:00,20:00:00
58,"South Melbourne",3,83163936481,VIC,4,OTHER,,,,7,,AUSTRALIA,3205,"111 Cecil St",,"SOUTH MELBOURNE","(03) 9696 0360",-37.83087,144.95707,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00
59,Southland,3,48326715954,VIC,4,OTHER,,,,7,,AUSTRALIA,3192,"FC301, 1239 Nepean Hwy",,CHELTENHAM,"(03) 9583 6106",-37.958174,145.052909,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,16:00:00,16:00:00,16:00:00,16:00:00,21:00:00,21:00:00,17:00:00,16:00:00
60,"Spencer Outlet",3,54164972730,VIC,4,OTHER,,,,7,,AUSTRALIA,3008,"k3/201 Spencer St",,DOCKLANDS,"03 70159981",-37.817039,144.952927,15,23690,,09:30:00,09:30:00,09:30:00,09:30:00,09:30:00,09:30:00,09:30:00,09:30:00,18:00:00,18:00:00,18:00:00,18:00:00,19:00:00,19:00:00,18:00:00,18:00:00
61,"The Glen",3,71813426746,VIC,4,OTHER,,,,7,,AUSTRALIA,3150,"Shop G052A, The Glen S c","235 Springvale Rd","GLEN WAVERLEY","(03) 9803 5932",-37.87672,145.16607,15,23690,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,17:00:00,17:30:00,17:30:00,17:30:00,21:00:00,21:00:00,17:00:00,17:00:00
62,"Toowoomba Grand Central Plaza",3,33616166557,QLD,4,OTHER,,,,7,,AUSTRALIA,4350,"Shop 0009B, Grand Central S/C Cnr Margaret &","Dent St",TOOWOOMBA,"(07) 4641 7774",-27.562042,151.951218,15,23690,,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,10:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:30:00,21:30:00,21:30:00,21:00:00
63,"Top Ryde",3,97604438833,NSW,4,OTHER,,,,7,,AUSTRALIA,2112,"Shop GRD-R3004","Blaxland Rd &, Devlin St",RYDE,"(02) 9807 6010",0,0,15,23722,,,,,,,,,,,,,,,,,
64,Traralgon,3,33904677595,VIC,4,OTHER,,,,7,,AUSTRALIA,3844,"81/83 Franklin St",,TRARALGON,"(03) 5174 1055",-38.19643,146.53769,15,6282,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00,21:00:00
65,"Tweed City",3,93613243440,NSW,4,OTHER,,,,7,,AUSTRALIA,2486,"Tweed City S/C, Shop 306, 54 Minjungbal Drive",,"TWEED HEADS SOUTH","(07) 5523 4300",-28.20137,153.54577,15,5290,,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,,19:45:00,19:45:00,19:45:00,19:45:00,20:45:00,20:45:00,20:45:00,
66,"Victoria Gardens",3,00000000000,VIC,4,OTHER,,,,7,,AUSTRALIA,3121,"Victoria Gardens S/C","620 Victoria St",RICHMOND,"(03) 9429 8413",-37.811801,145.010927,15,23722,,,,,,,,,,,,,,,,,
67,"Wagga Wagga",3,67674642678,NSW,4,OTHER,,,,7,,AUSTRALIA,2650,"62A Forsyth St",,"WAGGA WAGGA","(02) 5924 5214",-35.11441,147.37051,15,7306,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,10:30:00,11:00:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,21:00:00,21:00:00
68,"Waurn Ponds",3,17139781051,VIC,4,OTHER,,,,7,,AUSTRALIA,3216,"135-177 Colac Rd",,"WAURN PONDS","(03) 5298 3326",-38.199558,144.318187,15,23690,,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,20:30:00,20:30:00,20:30:00,20:30:00,20:30:00,21:00:00,21:00:00,20:30:00
